,,,,,,,,,,,,,,,,,
,Year Ended,,,,,,,,,,,,,,,,
,"Jan 26, 2025",,"Jan 28, 2024",,"Jan 29, 2023",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"(In millions, except per share data)",,,,,,,,,,,,,,,,
Numerator:,,,,,,,,,,,,,,,,,
Net income,$,"72,880",,,$,"29,760",,,$,"4,368",,,,,,,
Denominator:,,,,,,,,,,,,,,,,,
Basic weighted average shares,"24,555",,,"24,690",,,"24,870",,,,,,,,,,
Dilutive impact of outstanding equity awards,249,,,250,,,200,,,,,,,,,,
Diluted weighted average shares,"24,804",,,"24,940",,,"25,070",,,,,,,,,,
Net income per share:,,,,,,,,,,,,,,,,,
Basic (1),$,2.97,,,$,1.21,,,$,0.18,,,,,,,
Diluted (2),$,2.94,,,$,1.19,,,$,0.17,,,,,,,
Anti-dilutive equity awards excluded from diluted net income per share,51,,,150,,,400,,,,,,,,,,
