,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Jan 26, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AmortizedCost,,UnrealizedGain,,UnrealizedLoss,,EstimatedFair Value,,Reported as,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Cash Equivalents,,Marketable Securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(In millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corporate debt securities,$,"18,504",,,$,51,,,$,(29),,,$,"18,526",,,$,"2,071",,,$,"16,455",,,,,,,,,,,,,
Debt securities issued by the U.S. Treasury,"16,749",,,42,,,(22),,,"16,769",,,"1,801",,,"14,968",,,,,,,,,,,,,,,,,,,
Money market funds,"3,760",,,—,,,—,,,"3,760",,,"3,760",,,—,,,,,,,,,,,,,,,,,,,
Debt securities issued by U.S. government agencies,"2,775",,,7,,,(5),,,"2,777",,,—,,,"2,777",,,,,,,,,,,,,,,,,,,
Foreign government bonds,177,,,—,,,—,,,177,,,137,,,40,,,,,,,,,,,,,,,,,,,
Certificates of deposit,97,,,—,,,—,,,97,,,97,,,—,,,,,,,,,,,,,,,,,,,
Total debt securities with fair value adjustments recorded in other comprehensive income,"42,062",,,100,,,(56),,,"42,106",,,"7,866",,,"34,240",,,,,,,,,,,,,,,,,,,
Publicly-held equity securities (1),,,,,,,381,,,—,,,381,,,,,,,,,,,,,,,,,,,,,,
Total,$,"42,062",,,$,100,,,$,(56),,,$,"42,487",,,$,"7,866",,,$,"34,621",,,,,,,,,,,,,
