,,,,,,,,,,,,,,,,,
,Year Ended,,,,,,,,,,,,,,,,
,"Jan 26, 2025",,"Jan 28, 2024",,"Jan 29, 2023",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Geographic Revenue based upon Customer Billing Location:,(In millions),,,,,,,,,,,,,,,,
United States,$,"61,257",,,$,"26,966",,,$,"8,292",,,,,,,
Singapore (1),"23,684",,,"6,831",,,"2,288",,,,,,,,,,
Taiwan,"20,573",,,"13,405",,,"6,986",,,,,,,,,,
China (including Hong Kong),"17,108",,,"10,306",,,"5,785",,,,,,,,,,
Other,"7,875",,,"3,414",,,"3,623",,,,,,,,,,
Total revenue,$,"130,497",,,$,"60,922",,,$,"26,974",,,,,,,
