,,,,,,,,,,,,,,,,,
,Year Ended,,,,,,,,,,,,,,,,
,"Jan 26, 2025",,"Jan 28, 2024",,"Jan 29, 2023",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"(In millions, except per share data)",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"RSUs, PSUs and Market-based PSUs",,,,,,,,,,,,,,,,,
Awards granted,89,,,140,,,250,,,,,,,,,,
Estimated total grant-date fair value,$,"7,834",,,$,"5,316",,,$,"4,505",,,,,,,
Weighted average grant-date fair value per share,$,87.99,,,$,37.41,,,$,18.37,,,,,,,
,,,,,,,,,,,,,,,,,
ESPP,,,,,,,,,,,,,,,,,
Shares purchased,30,,,30,,,30,,,,,,,,,,
Weighted average price per share,$,17.74,,,$,15.81,,,$,12.25,,,,,,,
Weighted average grant-date fair value per share,$,8.61,,,$,6.99,,,$,5.19,,,,,,,
