,,,,,,,,,,,,,,,,,
,Year Ended,,,,,,,,,,,,,,,,
,"Jan 26, 2025",,"Jan 28, 2024",,"Jan 29, 2023",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Reconciling items included in ""All Other"" category:",(In millions),,,,,,,,,,,,,,,,
Stock-based compensation expense,$,"(4,737)",,,$,"(3,549)",,,$,"(2,710)",,,,,,,
Unallocated cost of revenue and operating expenses,"(1,171)",,,(728),,,(595),,,,,,,,,,
Acquisition-related and other costs,(602),,,(583),,,(674),,,,,,,,,,
Acquisition termination cost,—,,,—,,,"(1,353)",,,,,,,,,,
Other,3,,,(30),,,(79),,,,,,,,,,
Total,$,"(6,507)",,,$,"(4,890)",,,$,"(5,411)",,,,,,,
