,,,,,,,,,,,,,,,,,
,Year Ended,,,,,,,,,,,,,,,,
,"Jan 26, 2025",,"Jan 28, 2024",,"Jan 29, 2023",,,,,,,,,,,,
Net income,$,"72,880",,,$,"29,760",,,$,"4,368",,,,,,,
"Other comprehensive income (loss), net of tax",,,,,,,,,,,,,,,,,
Available-for-sale securities:,,,,,,,,,,,,,,,,,
Net change in unrealized gain (loss),1,,,80,,,(31),,,,,,,,,,
Reclassification adjustments for net realized gain included in net income,—,,,—,,,1,,,,,,,,,,
Net change in unrealized gain (loss),1,,,80,,,(30),,,,,,,,,,
Cash flow hedges:,,,,,,,,,,,,,,,,,
Net change in unrealized gain,21,,,38,,,47,,,,,,,,,,
Reclassification adjustments for net realized loss included in net income,(21),,,(48),,,(49),,,,,,,,,,
Net change in unrealized loss,—,,,(10),,,(2),,,,,,,,,,
"Other comprehensive income (loss), net of tax",1,,,70,,,(32),,,,,,,,,,
Total comprehensive income,$,"72,881",,,$,"29,830",,,$,"4,336",,,,,,,
