,,,,,,,,,,,,,,,,,
,,Fair Value at,,,,,,,,,,,,,,,
,Pricing Category,,"Jan 26, 2025",,"Jan 28, 2024",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,(In millions),,,,,,,,,,,,,,
Assets,,,,,,,,,,,,,,,,,
Cash equivalents and marketable securities:,,,,,,,,,,,,,,,,,
Money market funds,Level 1,,$,"3,760",,,$,"3,031",,,,,,,,,
Publicly-held equity securities,Level 1,,$,381,,,$,—,,,,,,,,,
Corporate debt securities,Level 2,,$,"18,526",,,$,"10,152",,,,,,,,,
Debt securities issued by the U.S. Treasury,Level 2,,$,"16,769",,,$,"9,524",,,,,,,,,
Debt securities issued by U.S. government agencies,Level 2,,$,"2,777",,,$,"2,333",,,,,,,,,
Foreign government bonds,Level 2,,$,177,,,$,174,,,,,,,,,
Certificates of deposit,Level 2,,$,97,,,$,510,,,,,,,,,
Other assets:,,,,,,,,,,,,,,,,,
Publicly-held equity securities,Level 1,,$,—,,,$,225,,,,,,,,,
,,,,,,,,,,,,,,,,,
Liabilities (1),,,,,,,,,,,,,,,,,
0.584% Notes Due 2024,Level 2,,$,—,,,$,"1,228",,,,,,,,,
3.20% Notes Due 2026,Level 2,,$,982,,,$,970,,,,,,,,,
1.55% Notes Due 2028,Level 2,,$,"1,136",,,$,"1,115",,,,,,,,,
2.85% Notes Due 2030,Level 2,,$,"1,376",,,$,"1,367",,,,,,,,,
2.00% Notes Due 2031,Level 2,,$,"1,064",,,$,"1,057",,,,,,,,,
3.50% Notes Due 2040,Level 2,,$,824,,,$,851,,,,,,,,,
3.50% Notes Due 2050,Level 2,,$,"1,482",,,$,"1,604",,,,,,,,,
3.70% Notes Due 2060,Level 2,,$,367,,,$,403,,,,,,,,,
